"V1","V2","V3","V4","V5"
1,"3PL",0.231257010651868,0.0880229582386063,0.0180499405633309
2,"3PL",0.258905334179485,0.0543356800355103,0.0211078451049812
3,"3PL",0.159029201615263,0.12825497121055,0.0272444864717014
4,"3PL",0.0795697077337311,0.195704647461408,0.0711645118200833
5,"3PL",0.138127696493146,0.145817447294808,0.0488794171936312
6,"3PL",0.156514481860197,0.0856178607306366,0.0283133640287651
7,"3PL",0.148457480865376,0.057961340775108,0.0215137662452403
8,"3PL",0.216279693571537,0.0515671760425903,0.0171758955629095
9,"3PL",0.0892486367521974,0.10173172464598,0.052192049339233
10,"3PL",0.0673608719181899,0.370197616930626,0.0875069595435432
11,"3PL",0.105353501023244,0.124187580059649,0.0441390352928219
12,"3PL",0.134907651276734,0.111676622924704,0.0354067989110853
13,"3PL",0.178928944087836,0.0522548502248852,0.0168154095754391
14,"3PL",0.174196455519427,0.28990830010821,0.0541994504222164
15,"3PL",0.0937184648623388,0.0786846605414338,0.0356187214907454
16,"3PL",0.0940053666635547,0.065507240780199,0.0282414087158137
17,"3PL",0.0676559609524729,0.210771007068756,0.0677529199636211
18,"3PL",0.0898946514205076,0.215711379911246,0.0827366770573799
19,"3PL",0.255367293275804,0.104953818273696,0.035139492320912
20,"3PL",0.0861527400567574,0.134982689576743,0.0519921073699742
21,"3PL",0.0556827175247505,0.1381168327776,0.0426385190083338
22,"3PL",0.119570071436519,0.0891660935086033,0.0281375335668786
23,"3PL",0.0588147371311951,0.145395712135643,0.0355396955785481
24,"3PL",0.179114254336667,0.0913473613644114,0.0231564796696168
25,"3PL",0.347577291439405,0.0837208408512594,0.0122024825044842
26,"3PL",0.177122585916241,0.0861163316862993,0.031355094358054
27,"3PL",0.0957589330764775,0.192283240751882,0.0635016884559956
28,"3PL",0.184044652118494,0.123478725028986,0.0481305251686473
29,"3PL",0.156999193342377,0.10443815295435,0.0358186058476884
30,"3PL",0.119207955815674,0.210548562931712,0.0789439320208461
31,"3PL",0.0938245656293469,0.161111691255468,0.0462669593661069
