"V1","V2","V3","V4","V5"
331,"3PL",0.107144136607357,0.119748282154282,0.0382717278731847
522,"3PL",0.0697932242897597,0.151318006540283,0.0524658165249762
395,"3PL",0.101515392465914,0.20478343080773,0.0645412211289536
378,"3PL",0.101378976122146,0.118113633807446,0.0444825504691289
459,"3PL",0.111662559598408,0.0760146212795158,0.0281226399070658
576,"3PL",0.0839634728314534,0.123992262911164,0.036734851429461
317,"3PL",0.221997945171469,0.0639224032251444,0.0140689436016586
367,"3PL",0.0871337492821684,0.374179309128928,0.0858733687191028
449,"3PL",0.105823973998549,0.102312414524913,0.0364072175701777
464,"3PL",0.162203056770702,0.0937182194486458,0.0275668158137221
429,"3PL",0.132027452439373,0.0746918631326661,0.0251049827239481
426,"3PL",0.153451053780984,0.08288669663247,0.0284288573089885
434,"3PL",0.633000130483358,0.211543549811221,0.00854554496959061
440,"3PL",0.307153426390669,0.21736948719088,0.0135376070221737
529,"3PL",0.11433637931781,0.168907668707079,0.0531564490260032
517,"3PL",0.265005577614419,0.0920221903779125,0.017105782704406
312,"3PL",0.107007146859497,0.121155477517751,0.0438642711156886
480,"3PL",0.164165101268478,0.169208830976116,0.0358891097824448
534,"3PL",0.0704377842469541,0.212359990339348,0.0468019201900112
359,"3PL",0.245127040513333,0.100307125154614,0.0162922729583108
344,"3PL",0.111763420133318,0.069255260292738,0.027135949464397
285,"3PL",0.0740540064214816,0.0981542487748777,0.0414907559005404
316,"3PL",0.162350406467033,0.0865896038304109,0.0262160255858582
306,"3PL",0.140516183783313,0.0585912610638495,0.0177468206439912
346,"3PL",0.0977768255565215,0.186452551798993,0.0668590490345377
498,"3PL",0.0912011774574873,0.103250046258935,0.0447719140929789
445,"3PL",0.14654205515232,0.0977962265407979,0.0394396411048542
566,"3PL",0.0799915750108333,0.173118942599092,0.0570113210418597
433,"3PL",0.159004004032391,0.0803953121187773,0.0222812942393362
485,"3PL",0.128615767939636,0.213909553027046,0.0483118961864293
383,"3PL",0.0980132401663579,0.118673852590352,0.0423980023609856
381,"3PL",0.0844096410558023,0.0934282440300961,0.0322090980578987
326,"3PL",0.0501240174892587,0.432415497036214,0.0765894873770208
402,"3PL",0.0453980300337789,0.974891970170951,0.0928703923337103
349,"3PL",0.146500141264178,0.0539312477463856,0.0223883659710707
370,"3PL",0.267228722513017,0.0974535849816282,0.0138863880533597
515,"3PL",0.141245342398086,0.15959270438122,0.0458731594106425
334,"3PL",0.097673374168787,0.155812160095721,0.0808642049735966
432,"3PL",0.147460507642944,0.101252673263808,0.0301428618244198
335,"3PL",0.0762932508861457,0.297718896200854,0.0725276776917854
354,"3PL",0.187918643998045,0.104469856840174,0.0151995302870101
484,"3PL",0.0651378757248615,0.153444729481198,0.0474099710908686
325,"3PL",0.0917582615478602,0.0948552860609223,0.0470373371151369
427,"3PL",0.10703593292258,0.0873837733572722,0.0305436494278139
388,"3PL",0.181662740117561,0.073737727768952,0.0165390497321151
