"V1","V2","V3","V4","V5"
56,"3PL",0.117176421974639,0.149171415222376,0.0444087609932267
211,"3PL",0.138023837382864,0.108034246465051,0.032677933481399
171,"3PL",0.159036668841551,0.127486613827616,0.0278903739008997
50,"3PL",0.117252200079809,0.150322794837539,0.0440047576234851
280,"3PL",0.306638433675906,0.0907110248167059,0.0111882366839179
279,"3PL",0.224107573485183,0.09288280365012,0.0186178528701018
38,"3PL",0.29265517711588,0.136642579812778,0.0185257105376087
245,"3PL",0.112919795277626,0.104170469266523,0.0392494104762403
137,"3PL",0.11199367842721,0.157839827352872,0.0490500947928869
161,"3PL",0.0649228949714825,0.164979001776405,0.0704064933936484
291,"3PL",0.21980573954401,0.0510071786334906,0.0110156581825374
70,"3PL",0.126985448768397,0.110244323816407,0.0388132643009566
220,"3PL",0.118332447937489,0.0753786000597486,0.0352602839285466
52,"3PL",0.13496708959804,0.111063420364253,0.0350777572029307
116,"3PL",0.189640589472368,0.0788649448704095,0.0302007711776914
244,"3PL",0.13434868008041,0.13576684369788,0.0471287723876797
278,"3PL",0.148908385209325,0.0605328300571628,0.0226978345020991
64,"3PL",0.0881257045029667,0.12016789442641,0.0565790363064995
126,"3PL",0.0573457479387581,0.271412475575918,0.0767840642320055
22,"3PL",0.0855869110857079,0.347816108157449,0.0809224822821734
186,"3PL",0.137700841506741,0.0555673781364933,0.023228399108036
109,"3PL",0.326847781454597,0.0693109858054919,0.0258443400551896
233,"3PL",0.177976423091545,0.072832146080008,0.0231551280623227
42,"3PL",0.100338193579712,0.170206368178824,0.0828404444388847
96,"3PL",0.275998361866028,0.0734762611675682,0.0272068749339799
135,"3PL",0.0600614945630525,0.0910031416126611,0.035755890051276
41,"3PL",0.0808867416772686,0.164134641247707,0.0700789998332136
98,"3PL",0.103089103392047,0.163069339697583,0.0800608512723644
262,"3PL",0.0558318074347724,0.130371615614932,0.0403024658548327
36,"3PL",0.257235384059233,0.237661702011954,0.0293529640037091
3,"3PL",0.0722534722738278,0.310550572940986,0.0805758974491225
45,"3PL",0.107862239742023,0.16255745323509,0.05039783036555
218,"3PL",0.113524494683609,0.112923410126226,0.0491571483615162
232,"3PL",0.204050890116198,0.0468137229446599,0.0186805116472859
292,"3PL",0.125860494625519,0.108875241068948,0.0387104867688254
167,"3PL",0.0543172172830297,0.152044595540261,0.0533568166845918
223,"3PL",0.0853249881889619,0.0591069656868726,0.0257904830068839
75,"3PL",0.428449149347663,0.132605722903077,0.00859123163809441
175,"3PL",0.0813744071940735,0.105551042513874,0.042072836249125
40,"3PL",0.339518001580994,0.207022648608126,0.0160971104348868
256,"3PL",0.130826638140074,0.117731322475506,0.0336646128910203
77,"3PL",0.192214411520285,0.0972265895936489,0.0288140688452087
30,"3PL",0.173852258183561,0.0858566685522273,0.0220712095136731
277,"3PL",0.12826546309174,0.128897168878769,0.038346927970265
242,"3PL",0.0730257847266664,0.134043203241378,0.0584927304796614
203,"3PL",0.0707751298142684,0.186883958728772,0.0722322227494549
248,"3PL",0.11095522649291,0.12556448473991,0.0704888297003461
89,"3PL",0.126011206943078,0.16216542588181,0.0633957381302537
127,"3PL",0.0872951927264326,0.189018338391737,0.077205767237898
204,"3PL",0.0682702954748687,0.218809295463759,0.0680133213162101
2,"3PL",0.0761719083238896,0.586882291200111,0.103957627500631
4,"3PL",0.0957720544994949,0.188214934751609,0.0646029098580622
170,"3PL",0.0645383375324842,0.0655543197995648,0.0300089920975696
230,"3PL",0.127925733380314,0.13929675999062,0.0455866009664799
68,"3PL",0.14469451100064,0.0789284953277009,0.0278236882164136
199,"3PL",0.325482508241962,0.0987548001154179,0.0134240547129947
192,"3PL",0.216389177627579,0.0474666612247971,0.0160155051426648
241,"3PL",0.108609435149998,0.144590788884452,0.0743892093040026
149,"3PL",0.0778015827570693,0.275178632543029,0.0807393850646773
172,"3PL",0.112544835266092,0.186969998580506,0.0559347107059397
185,"3PL",0.11077765547495,0.130805563541002,0.0451146260504834
212,"3PL",0.170839921924612,0.0755189685004076,0.0229879915584866
260,"3PL",0.0593494135306997,0.126180217202509,0.0482508611089205
62,"3PL",0.172877362316229,0.0685292160250042,0.0303952207104787
255,"3PL",0.205531262009149,0.0515241359492065,0.0182983717543846
103,"3PL",0.126010329111813,0.198416123580748,0.0848855801871153
91,"3PL",0.1021198149841,0.128267047625065,0.0542409455474771
108,"3PL",0.257472926766474,0.09582218780283,0.0330687855494535
51,"3PL",0.135032245004297,0.0719683511281873,0.0324206608739505
16,"3PL",0.104662813606865,0.143615893919774,0.0577338285079822
283,"3PL",0.112957247793012,0.174223361220874,0.0603430652125832
72,"3PL",0.375080300500192,0.0669186998188253,0.0137893234005175
10,"3PL",0.112513700062551,0.129650344667327,0.0531479773501812
257,"3PL",0.134296398447226,0.0356370525212518,0.0117170358238975
227,"3PL",0.0748679684510054,0.179809842496823,0.0544833389508927
254,"3PL",0.133023603003743,0.164771834792393,0.0512043051574146
65,"3PL",0.10391493614667,0.132522818510467,0.0768645939309876
194,"3PL",0.220686831130368,0.0524888620758429,0.0179936457722783
90,"3PL",0.0857380710723762,0.247622510866069,0.0714639707754366
252,"3PL",0.0844705437079643,0.158340231879428,0.0749175340870256
78,"3PL",0.211168224879226,0.0614890651125526,0.0214076530028754
148,"3PL",0.237199825809159,0.0839531579928361,0.0129526312386012
6,"3PL",0.0945161221826972,0.273081881467938,0.0844336156238224
88,"3PL",0.140630288591243,0.348047689643271,0.0747343842300593
44,"3PL",0.103952708475912,0.24192746728564,0.0722015522240489
240,"3PL",0.292173105062418,0.0726609568406842,0.0115285507926261
208,"3PL",0.0751760564127996,0.107261770978058,0.0460678776349069
69,"3PL",0.212227770035464,0.0817325390366206,0.0271672324253619
156,"3PL",0.226014359273821,0.0626255464106463,0.0178187947807815
229,"3PL",0.172784710249869,0.0387335958650694,0.0154287369384293
206,"3PL",0.107557511751526,0.151113744598595,0.0520481907109683
83,"3PL",0.140067524769132,0.125284806662299,0.0546071002534754
80,"3PL",0.233968253460096,0.0850402471197993,0.0172810134303873
117,"3PL",0.276344763660242,0.093560626222823,0.0272589949164246
276,"3PL",0.122973320546878,0.0900112938905205,0.0331310637459857
274,"3PL",0.268961438195689,0.0439306035304302,0.013407337038219
217,"3PL",0.175643365790674,0.0542479138559976,0.0144353186225863
19,"3PL",0.105839846893644,0.271898959637998,0.0772729343908513
24,"3PL",0.139791210210639,0.119174140456338,0.0374804922307546
253,"3PL",0.116934532380026,0.161479705265049,0.0605248740156945
205,"3PL",0.0753830535028276,0.186266704366989,0.0632413115670718
86,"3PL",0.106088736659338,0.183851041904281,0.0858974819210963
195,"3PL",0.272938928904277,0.0664193166875094,0.0143259233565819
164,"3PL",0.121807945733937,0.0789007448575168,0.03724426079995
57,"3PL",0.172883957056287,0.0699793577432055,0.0251418614780949
207,"3PL",0.0935901592252635,0.220261410768916,0.0752367460429915
272,"3PL",0.201532076317579,0.070595847626907,0.0197301240790752
251,"3PL",0.0616930213231915,0.141211002530783,0.0559284529190315
29,"3PL",0.218603733686796,0.134050672636509,0.0184520462545126
25,"3PL",0.0942840050135851,0.300862994897516,0.0620731809173559
5,"3PL",0.105150301036785,0.316135093588304,0.0871562495887024
140,"3PL",0.101121449179528,0.343163711597736,0.0764444316411219
71,"3PL",0.294185604450536,0.0589725337033845,0.0153611836475274
284,"3PL",0.0908215155562511,0.114464575818983,0.049530595287272
154,"3PL",0.346146296321021,0.0917847420184538,0.010678675977069
151,"3PL",0.121610848429274,0.170429726989022,0.048144613894199
290,"3PL",0.127702413724178,0.0929197374886251,0.0297487011909215
21,"3PL",0.117469812537257,0.160029542843163,0.058647910921935
174,"3PL",0.111095479196935,0.139272088454728,0.0440750579971997
235,"3PL",0.17550371317102,0.0675130294959852,0.0211816307042856
7,"3PL",0.122276005410502,0.266057805702422,0.0839486048190433
216,"3PL",0.078279049286088,0.116449629104063,0.0448184701730576
264,"3PL",0.0671235444695832,0.11900119593724,0.0526032120892711
157,"3PL",0.217324667309103,0.0765560905672028,0.0137716507841903
43,"3PL",0.0929328732382904,0.139136738318994,0.0612693463726155
133,"3PL",0.103664508733846,0.149973954387407,0.0637201430859114
273,"3PL",0.139728522764672,0.0703913978565859,0.0269658550763652
53,"3PL",0.0752757374828406,0.169889841787226,0.0707335816106014
120,"3PL",0.262416256524642,0.236306102029491,0.0224234211113057
58,"3PL",0.247739929114635,0.11718706200885,0.0204247022074854
271,"3PL",0.111724113981401,0.187265815583634,0.0550003136616361
239,"3PL",0.283156335385084,0.193075882393224,0.0113576407602765
249,"3PL",0.117854326879207,0.110328546293317,0.0358868269206143
184,"3PL",0.0921972334851151,0.104457305969696,0.0521473692832855
173,"3PL",0.0688671289622382,0.116608516625469,0.0514520190964593
110,"3PL",0.355895917574137,0.0466553181576952,0.0157425927573452
193,"3PL",0.239924094178989,0.0538546726037785,0.0148214941704969
134,"3PL",0.0636886638104166,0.18632544114524,0.0625095045026205
31,"3PL",0.127043538511563,0.277770132691687,0.0698659273850906
224,"3PL",0.0981646059927282,0.0785132712600893,0.0299345943060005
285,"3PL",0.075323530343877,0.102674563977556,0.0420128179446987
46,"3PL",0.140052070053415,0.0824457074824115,0.026710770312361
100,"3PL",0.103940515789329,0.169727109818915,0.0672649045600898
