"ID","RC","Content.Area","Format","DOK"
549,"A","WRI","RS",2
438,"C","LIS","RS",2
385,"A","LIS","CV",2
392,"B","LIS","RS",2
339,"C","SPK","RS",2
569,"B","LIS","DR",3
398,"A","SPK","RS",2
430,"B","SPK","DR",2
389,"B","LIS","RS",1
559,"C","SPK","RS",2
324,"A","RED","CV",2
447,"B","SPK","DR",2
284,"C","LIS","RS",2
524,"A","RED","DR",3
422,"B","RED","RS",3
411,"A","WRI","CV",2
333,"A","LIS","RS",2
489,"A","RED","DR",2
454,"C","SPK","RS",2
506,"B","SPK","DR",2
562,"B","RED","DR",2
564,"B","RED","DR",2
470,"A","WRI","CV",2
501,"C","LIS","RS",2
414,"A","WRI","CV",2
497,"A","RED","CV",2
505,"B","SPK","DR",2
341,"B","WRI","DR",2
496,"A","RED","CV",2
372,"B","WRI","DR",2
405,"B","RED","DR",1
511,"C","WRI","RS",2
350,"B","SPK","DR",2
407,"B","LIS","DR",2
538,"A","WRI","CV",1
567,"B","LIS","DR",2
507,"B","SPK","DR",2
443,"B","RED","DR",2
287,"A","RED","RS",2
281,"B","LIS","RS",2
554,"A","LIS","DR",2
380,"A","RED","RS",2
565,"C","RED","DR",2
361,"C","RED","DR",3
289,"B","RED","RS",2
379,"C","RED","RS",2
439,"C","LIS","RS",2
308,"A","SPK","CV",2
313,"A","SPK","CV",3
521,"B","RED","DR",2
327,"A","RED","CV",2
441,"B","RED","DR",1
368,"B","SPK","DR",2
451,"C","SPK","RS",2
420,"B","RED","RS",2
456,"C","SPK","RS",2
329,"A","LIS","RS",2
512,"C","WRI","RS",2
474,"A","WRI","CV",2
519,"C","SPK","RS",2
393,"B","LIS","RS",3
403,"B","RED","DR",2
530,"A","RED","RS",2
321,"A","RED","CV",1
423,"A","RED","RS",2
376,"A","RED","RS",2
357,"A","WRI","RS",3
533,"B","SPK","DR",2
291,"B","RED","RS",2
