"ID","RC","Content.Area","Format","DOK"
233,"B","LIS","RS",2
234,"C","RD","RS",2
235,"C","WRI","CV",2
236,"B","WRI","RS",2
237,"B","LIS","DR",2
238,"B","WRI","DR",2
239,"B","SPK","DR",2
240,"A","LIS","DR",2
241,"C","WRI","RS",3
242,"C","WRI","RS",2
243,"A","LIS","RS",2
244,"A","LIS","CV",2
245,"B","RD","DR",2
246,"A","RD","DR",2
247,"A","LIS","CV",2
248,"A","RD","RS",2
249,"B","RD","RS",2
250,"B","SPK","DR",3
251,"B","SPK","CV",2
252,"A","LIS","RS",2
253,"C","WRI","RS",2
254,"A","WRI","RS",2
255,"A","RD","RS",2
256,"A","WRI","DR",2
257,"A","RD","RS",2
258,"A","RD","DR",2
259,"B","WRI","RS",2
260,"C","LIS","RS",2
261,"C","SPK","RS",2
262,"A","WRI","RS",2
263,"B","RD","DR",2
264,"B","WRI","DR",2
265,"C","SPK","RS",2
266,"A","WRI","RS",2
267,"A","LIS","CV",3
268,"A","SPK","CV",2
269,"B","WRI","DR",1
270,"C","WRI","RS",2
271,"B","WRI","DR",1
272,"A","SPK","CV",2
273,"B","SPK","RS",2
274,"B","LIS","DR",2
275,"B","SPK","RS",3
276,"A","LIS","CV",2
277,"C","RD","RS",2
278,"C","WRI","RS",2
279,"B","WRI","DR",2
280,"A","LIS","RS",2
281,"B","WRI","DR",2
282,"B","SPK","DR",2
283,"A","SPK","CV",3
284,"B","RD","RS",2
285,"A","LIS","DR",2
286,"B","LIS","DR",2
287,"A","RD","RS",2
288,"C","LIS","RS",2
289,"B","WRI","DR",2
290,"C","LIS","RS",2
291,"A","WRI","DR",2
292,"B","WRI","RS",2
293,"B","LIS","CV",1
294,"A","SPK","CV",2
295,"C","RD","RS",2
296,"A","SPK","CV",2
297,"A","RD","RS",2
298,"A","RD","CV",2
299,"B","SPK","DR",1
300,"A","SPK","RS",2
