"ID","RC","Content.Area","Format","DOK"
230,"B","LIS","RS",2
129,"C","RED","RS",2
218,"C","WRI","CV",2
151,"B","WRI","RS",2
65,"B","LIS","DR",2
277,"B","WRI","DR",2
85,"B","SPK","DR",2
187,"A","LIS","DR",2
183,"C","WRI","RS",3
118,"C","WRI","RS",2
94,"A","LIS","RS",2
251,"A","LIS","CV",2
123,"B","RED","DR",2
104,"A","RED","DR",2
135,"A","LIS","CV",2
8,"A","RED","RS",2
288,"B","RED","RS",2
148,"B","SPK","DR",3
75,"B","SPK","CV",2
46,"A","LIS","RS",2
119,"C","WRI","RS",2
263,"A","WRI","RS",2
126,"A","RED","RS",2
5,"A","WRI","DR",2
167,"A","RED","RS",2
165,"A","RED","DR",2
152,"B","WRI","RS",2
95,"C","LIS","RS",2
90,"C","SPK","RS",2
150,"A","WRI","RS",2
249,"B","RED","DR",2
141,"B","WRI","DR",2
91,"C","SPK","RS",2
259,"A","WRI","RS",2
252,"A","LIS","CV",3
70,"A","SPK","CV",2
225,"B","WRI","DR",1
117,"C","WRI","RS",2
2,"B","WRI","DR",1
73,"A","SPK","CV",2
158,"B","SPK","RS",2
64,"B","LIS","DR",2
58,"B","SPK","RS",3
138,"A","LIS","CV",2
7,"C","RED","RS",2
181,"C","WRI","RS",2
227,"B","WRI","DR",2
17,"A","LIS","RS",2
1,"B","WRI","DR",2
147,"B","SPK","DR",2
195,"A","SPK","CV",3
289,"B","RED","RS",2
32,"A","LIS","DR",2
34,"B","LIS","DR",2
170,"A","RED","RS",2
15,"C","LIS","RS",2
37,"B","WRI","DR",2
283,"C","LIS","RS",2
279,"A","WRI","DR",2
149,"B","WRI","RS",2
256,"B","LIS","CV",1
69,"A","SPK","CV",2
47,"C","RED","RS",2
72,"A","SPK","CV",2
292,"A","RED","RS",2
113,"A","RED","CV",2
144,"B","SPK","DR",1
57,"A","SPK","RS",2
