CONSTRAINT_ID,TYPE,WHAT,CONDITION,LB,UB,ONOFF
"C79",Enemy,Item,"ID %in% c(""FATIMP40"", ""FATEXP31"")",,,
"C80",Enemy,Item,"ID %in% c(""FATIMP40"", ""FATEXP44"")",,,
"C81",Enemy,Item,"ID %in% c(""FATIMP40"", ""FATEXP54"")",,,
"C82",Enemy,Item,"ID %in% c(""FATIMP43"", ""FATIMP44"")",,,
"C83",Enemy,Item,"ID %in% c(""FATIMP43"", ""FATIMP52"")",,,
"C84",Enemy,Item,"ID %in% c(""FATIMP44"", ""FATIMP52"")",,,
"C85",Enemy,Item,"ID %in% c(""FATIMP45"", ""FATIMP48"")",,,
"C86",Enemy,Item,"ID %in% c(""FATIMP47"", ""FATIMP55"")",,,
"C87",Enemy,Item,"ID %in% c(""FATIMP48"", ""AN16"")",,,
"C88",Enemy,Item,"ID %in% c(""FATEXP6"", ""FATEXP12"")",,,
"C89",Enemy,Item,"ID %in% c(""FATEXP13"", ""FATEXP36"")",,,
"C90",Enemy,Item,"ID %in% c(""FATEXP13"", ""FATEXP41"")",,,
"C91",Enemy,Item,"ID %in% c(""FATEXP13"", ""FATEXP43"")",,,
"C92",Enemy,Item,"ID %in% c(""FATEXP13"", ""FATEXP52"")",,,
"C93",Enemy,Item,"ID %in% c(""FATEXP19"", ""FATEXP29"")",,,
"C94",Enemy,Item,"ID %in% c(""FATEXP21"", ""FATEXP38"")",,,
"C95",Enemy,Item,"ID %in% c(""FATEXP24"", ""FATEXP54"")",,,
"C96",Enemy,Item,"ID %in% c(""FATEXP31"", ""FATEXP44"")",,,
"C97",Enemy,Item,"ID %in% c(""FATEXP31"", ""FATEXP54"")",,,
"C98",Enemy,Item,"ID %in% c(""FATEXP31"", ""AN5"")",,,
"C99",Enemy,Item,"ID %in% c(""FATEXP34"", ""FATEXP40"")",,,
"C100",Enemy,Item,"ID %in% c(""FATEXP36"", ""FATEXP43"")",,,
"C101",Enemy,Item,"ID %in% c(""FATEXP36"", ""FATEXP52"")",,,
"C102",Enemy,Item,"ID %in% c(""FATEXP40"", ""FATEXP43"")",,,
"C103",Enemy,Item,"ID %in% c(""FATEXP42"", ""FATEXP44"")",,,
"C104",Enemy,Item,"ID %in% c(""FATEXP43"", ""FATEXP52"")",,,
"C105",Enemy,Item,"ID %in% c(""FATEXP44"", ""FATEXP54"")",,,
"C106",Enemy,Item,"ID %in% c(""FATEXP44"", ""AN5"")",,,
"C107",Enemy,Item,"ID %in% c(""FATEXP54"", ""AN5"")",,,
"C108",Enemy,Item,"ID %in% c(""HI7"", ""AN2"")",,,
"C109",Enemy,Item,"ID %in% c(""HI12"", ""AN1"")",,,
"C110",Enemy,Item,"ID %in% c(""AN3"", ""AN4"")",,,
"C111",Enemy,Item,"ID %in% c(""AN5"", ""AN7"")",,,
