"ID","RC","Content.Area","Format","DOK"
479,"IOD","ESS","DR",2
480,"IOD","ESS","DR",1
481,"IOD","ESS","DR",2
482,"IOD","ESS","DR",2
483,"IOD","ESS","DR",2
484,"EMI","ESS","DR",2
485,"IOD","ESS","DR",2
486,"IOD","BIO","DR",2
487,"IOD","BIO","DR",2
488,"IOD","BIO","DR",2
489,"EMI","BIO","DR",2
490,"IOD","BIO","DR",2
491,"EMI","BIO","CV",2
492,"EMI","BIO","CV",2
493,"EMI","BIO","CV",2
494,"EMI","BIO","CV",1
495,"EMI","BIO","CV",2
496,"EMI","BIO","CV",2
497,"EMI","BIO","CV",2
498,"IOD","ESS","RS",2
499,"IOD","ESS","RS",3
500,"IOD","ESS","RS",2
501,"SIN","ESS","RS",2
502,"SIN","ESS","RS",2
503,"IOD","ESS","RS",1
504,"IOD","PHY","DR",2
505,"IOD","PHY","DR",2
506,"IOD","PHY","DR",2
507,"IOD","PHY","DR",2
508,"EMI","PHY","DR",3
509,"SIN","CHE","RS",1
510,"SIN","CHE","RS",3
511,"SIN","CHE","RS",2
512,"SIN","CHE","RS",2
513,"SIN","CHE","RS",1
514,"SIN","CHE","RS",3
515,"IOD","PHY","RS",2
516,"SIN","PHY","RS",2
517,"IOD","PHY","RS",2
518,"SIN","PHY","RS",3
519,"SIN","PHY","RS",2
520,"IOD","PHY","RS",2
521,"IOD","BIO","DR",2
522,"IOD","BIO","DR",2
523,"IOD","BIO","DR",1
524,"EMI","BIO","DR",3
525,"IOD","BIO","DR",2
526,"IOD","BIO","RS",2
527,"SIN","BIO","RS",2
528,"SIN","BIO","RS",2
529,"SIN","BIO","RS",2
530,"EMI","BIO","RS",2
531,"SIN","BIO","RS",3
532,"IOD","PHY","DR",2
533,"IOD","PHY","DR",2
534,"EMI","PHY","DR",3
535,"SIN","PHY","DR",3
536,"SIN","PHY","DR",2
537,"EMI","CHE","CV",2
538,"EMI","CHE","CV",1
539,"EMI","CHE","CV",2
540,"EMI","CHE","CV",2
541,"EMI","CHE","CV",2
542,"EMI","CHE","CV",2
543,"EMI","CHE","CV",1
544,"IOD","CHE","RS",2
545,"SIN","CHE","RS",2
546,"SIN","CHE","RS",2
547,"EMI","CHE","RS",2
548,"SIN","CHE","RS",2
549,"EMI","CHE","RS",2
550,"IOD","ESS","DR",2
551,"IOD","ESS","DR",2
552,"IOD","ESS","DR",2
553,"IOD","ESS","DR",3
554,"EMI","ESS","DR",2
555,"SIN","PHY","RS",2
556,"SIN","PHY","RS",3
557,"SIN","PHY","RS",2
558,"IOD","PHY","RS",2
559,"SIN","PHY","RS",2
560,"IOD","PHY","RS",2
561,"IOD","BIO","DR",1
562,"IOD","BIO","DR",2
563,"SIN","BIO","DR",3
564,"IOD","BIO","DR",2
565,"SIN","BIO","DR",2
566,"IOD","ESS","DR",2
567,"IOD","ESS","DR",2
568,"IOD","ESS","DR",2
569,"IOD","ESS","DR",3
570,"EMI","ESS","DR",2
571,"EMI","PHY","CV",3
572,"EMI","PHY","CV",2
573,"EMI","PHY","CV",2
574,"EMI","PHY","CV",3
575,"EMI","PHY","CV",3
576,"EMI","PHY","CV",2
577,"EMI","PHY","CV",2
578,"SIN","ESS","RS",2
579,"EMI","ESS","RS",2
580,"SIN","ESS","RS",2
581,"IOD","ESS","RS",2
582,"SIN","ESS","RS",2
583,"SIN","ESS","RS",2
584,"SIN","CHE","RS",2
585,"SIN","CHE","RS",2
586,"SIN","CHE","RS",2
587,"EMI","CHE","RS",2
588,"IOD","CHE","RS",2
589,"SIN","CHE","RS",2
590,"IOD","BIO","RS",2
591,"SIN","BIO","RS",2
592,"EMI","BIO","RS",2
593,"IOD","BIO","RS",2
594,"EMI","BIO","RS",2
595,"SIN","BIO","RS",2
596,"IOD","PHY","DR",2
597,"IOD","PHY","DR",2
598,"IOD","PHY","DR",2
599,"IOD","PHY","DR",1
600,"IOD","PHY","DR",3
